,_id,phoneNumber,storeName,ownerName,storeNumber,gstNumber
40,AL-R202307-077,9550456238,CREAST HEAL PHARMCY ,raj ,9550456238,
41,AL-R202307-078,9989606318,MARKSMED PVT LTD,J Raghavan ,7799829319,
42,AL-R202307-079,9490592427,SRI SAI BALAJI MEDICAL,Raja Shekhar ,9490592427,36TESTA0125A1ZF
43,AL-R202307-080,7981159492,BALAJI ,narasimha ,9246875825,
44,AL-R202307-081,9550256238,M/S CREST HEAL PHARMACY,raj,9550256238,
45,AL-R202307-082,9440576153,MNR ,NARSIMHA REDDY ,9440576153,
46,AL-R202307-083,9032625343,SREE VEERABHADRA MEDICAL STORE ,Ravindra,9032625343,36TESTA0123A1ZF
47,AL-R202307-084,7396211439,SHREE DEVI MEDICAL ,kamlakar,7396211439,
48,AL-R202307-085,9848113859,MED WELL PHARMACY ,k satyanarayana,9848113859,
49,AL-R202307-086,9963226723,SRI SAI VENKATA GANESH MEDICAL AND GENERAL STORES,Krishna ,9963226723,22AAAAA0000A1Z5
50,AL-R202307-087,9963617388,SRI SAI BABA MEDICAL ,Ramesh ,9963617388,
51,AL-R202307-088,9303041257,FAMILY HEALTH CHEMIST AND DRUGGIST ,Aslam Khan ,9030412577,22AAAAA0000A1Z5
52,AL-R202307-089,9618857938,SRI SAI RAMA MEDICAL ,ravindar,9618857938,36Alypg0500g1za
53,AL-R202307-090,9346365199,SRI SAI RAGHAVENDRA MEDICAL CLINIC ,Anusha,9346365199,
54,AL-R202307-091,7013182282,SURESH MEDICAL AND GENERAL STORES,S Suresh Babu,7013182282,36AFCFS0418P1ZQ
55,AL-R202307-092,9000664444,ANNAPURNA MEDICAL ,banuprakash Reddy ,9000664444,
56,AL-R202307-093,9010979123,SREE MANIKANTA MEDICAL ,Suryaavamsi ,9010979123,
57,AL-R202307-094,8790959058,SREYANSH MEDICAL,jyothi,8790959058,
58,AL-R202307-095,8520077008,AB MEDICALS & MORE,Atiq athar badgail,8520077008,36ATHPB2122N1ZV
59,AL-R202307-096,9666741101,ABINANDANA MEDICAL & GENERAL STORE,Naveen kumar,9666741101,36TESTA0772R1ZF
60,AL-R202307-097,8686142877,AB MEDICAL ,Atiq athar badgail ,8686142877,
61,AL-R202307-098,9885879614,HEAL POINT MEDICAL ,Sarwar shareef,9885879614,22AAAAA0000A1Z5
62,AL-R202307-099,9030771369,ADITHYA PHARMACY ,prabhakar,9030771369,36BMOPM8155M1ZF
63,AL-R202307-100,8555959826,MEDIMORE MEDICAL ,mohd Sajid pasha ,8555959826,
64,AL-R202307-101,9666361034,HAYAT PHARMACY ,Abdul sattar,9666361034,
65,AL-R202307-102,9392647212,ALOK PHARMA ,Hema Madhuri ,9392647212,36AWWPH6946G1ZV
66,AL-R202307-103,8008870044,PRINCE MEDICAL HALL,PRAKASH CHANDRANI ,8008870044,36ABUPC7419E1ZJ
67,AL-R202307-104,9290992813,SREE VENKATESHWARA MEDICAL ,Rajashekar,9290992813,
68,AL-R202307-105,9704242444,LIFE PHARMACY ,madhu aasuri,9704242444,
69,AL-R202307-107,9886028374,SRI VINAYAKA MEDICAL ,chandrashekhar,6309603888,
70,AL-R202307-108,9985302491,MS A2Z PHARMACY AND SURGICALS,Brahmadevara chaithanya,9850563275,
71,AL-R202307-109,8121375758,NEW PHARMA WORLD ,Madhu,8121375758,
72,AL-R202307-110,9032673267,BHAGAT PHARMACY ,Ganji Naresh,9032332632,
73,AL-R202307-111,8886937065,GOOD HEALTH PHARMACY ,Varun Kumar,8886937065,
74,AL-R202307-112,9441190719,MS MAHALAKSHMI ,Ratnakar uppala,9441190719,
75,AL-R202307-113,9908812688,TIRUMALA MEDICAL AND GENERAL STORS ,Umanath ,9908812688,
76,AL-R202307-114,9848609600,SRI HARSHA MEDICAL GENERAL STORE ,raju,9848609600,
77,AL-R202307-115,9989379923,PRINCE MEDICAL GENERAL STORE ,Mohammed samee,9989379923,
78,AL-R202307-116,9951208088,LAXMI VENKATESHWARA MEDICAL ,Aitipamula Chandra Shekar ,9951208088,
79,AL-R202307-117,9700733733,SREE VENKATESWARA MEDICAL GENERAL STORE ,Prasad,9700733733,
80,AL-R202307-118,9949832807,JAYARAM MEDICAL ,nvs narayana ,9949832807,
81,AL-R202307-119,9032141934,LAXMI MEDICAL COSMETIC ,Anjaneyulu,9032141934,36AIJPT444ON1zo
82,AL-R202307-120,6300299503,VAMSHI MEDICAL GENERAL STORE ,tirumalareddy lega,6300299503,
83,AL-R202307-121,9966005282,RITWIK MEDICAL GENERAL STORE ,Lavanya,9966005282,
84,AL-R202307-122,8555878711,LEVEN PHARMACY,Shivaraj Varma ,9160644400,
85,AL-R202307-123,9849136603,DELTA DRUGMART PHARMACY ,sanju,9849136603,
86,AL-R202307-124,8883330374,MANAM PHARMACY ,VANAJAKSHI,8883330374,36CXDPP9208H1Z7
87,AL-R202307-125,9848270237,SRI BALAJI MEDICAL GENERAL STORE ,srikanth ,9848270237,
88,AL-R202307-126,9949795005,S V K MEDICAL AND GENERAL AND STORE ,prasada Reddy ,9949795005,
89,AL-R202307-127,7680026024,RAJU,raju,7680026024,
90,AL-R202307-128,9618401017,YASHASWL MEDICAL  GENERAL STORE ,M Ganesh ,9618401017,
91,AL-R202307-129,9949955980,M/S HYDERABAD MEDISTORE,Alige.Nagesh,9949955980,36AANFH4318R1ZP
92,AL-R202307-130,9000880444,SRI SRIKARA PHARMACY ,Jay Shiva Shankar,9000880444,
93,AL-R202307-131,9247266666,MARUTHI MEDICAL AND GENERAL ,Sanjay,9247266666,
94,AL-R202307-132,9010304093,OM SAI SRINIVASA ,srinivasa ,9010304093,
95,AL-R202307-133,9390097256,GNANESHWARA PHARMACY ,Satheesh,9390097256,
96,AL-R202307-134,9705679927,GENNITOR PHARMACY ,SATYA,9705679927,
97,AL-R202307-135,8185089009,SRI PADMAVATHI MEDICAL ,srilatha ,8185089009,
98,AL-R202307-136,9866831038,SRI VINAYAKA MEDICAL ,ajay,9866831038,
99,AL-R202307-137,9959713938,AKSHITHA MEDICAL ,yadgiri,9959713938,
100,AL-R202307-138,8919082907,SAI RAGHAVA MEDICAL HALL,Raju ,8919082907,
101,AL-R202307-139,8600225528,SATYA MEDICAL AND GENERAL STORE ,Praveen,8600225528,
102,AL-R202307-140,9014503319,SANTHI MEDICAL ,swornarani,9014503319,
103,AL-R202307-141,9440648080,DEEPTHI MEDICAL & GENERAL STORES,Gundu Dileep Kumar ,9440648080,
104,AL-R202307-142,9059986457,ACCESS HEALTH PHARMACY,venkat,9059986457,
105,AL-R202307-143,9989090035,MAMATHA MEDICAL ,Sharif ,9989090035,
106,AL-R202307-144,7702484778,SHREE SAI BALAJI MEDICAL ,g Arun Kumar ,7702484778,
107,AL-R202307-145,9912677997,MADHU MEDICAL ,Madhu ,9912677997,
108,AL-R202307-146,7670967190,SIA SREE MEDICAL ,Rajakala,7670967190,
109,AL-R202307-147,8686784874,AKSHARA MEDICAL GENERAL STORE ,Sai prakash ,8686784874,
110,AL-R202307-148,9000386707,KRISHAAN MEDICAL,Naveen Kumar,9000386707,
111,AL-R202307-149,8639107582,UMA MAHESHWARI MEDICAL GENERAL STORE ,Krishna Murthy ,8639107582,
112,AL-R202307-150,9542922912,RUDRA MEDICAL ,Ramu ,9542922912,
113,AL-R202307-151,8074209691,SREE LAXMI NARSHIMA MEDICAL ,narasimhareddy,8074209691,
114,AL-R202307-152,8977897746,JYOTHI MEDICAL ,Jyothi ,8977897746,36aaqfj0345cizj
115,AL-R202307-153,9180742908,SANTOSHI MATHA MEDICAL ,Kishore ,9180742908,
116,AL-R202307-154,9247255485,SOMANATH MEDICAL ,Santosh ,9247255485,
117,AL-R202307-155,7093441999,GARUDA MEDICAL,Premnath Rao,7093441999,
118,AL-R202307-156,7396655844,M/S BALAJI MEDICAL & GENERAL STORE,Balaji,7396655844,
119,AL-R202307-157,9440693365,SR MEDICAL ,Rajesh,9440693365,
120,AL-R202307-158,8374935251,UMA MAHESHWARI MEDICAL ,Naresh ,8374935251,
121,AL-R202307-159,9866455837,SURAKSHA MEDICAL GENERAL STORE ,balakrishna ,9866455837,
122,AL-R202307-160,9848495417,RAGHAVENDRA MEDICAL ,mahender reddy ,9848495417,
123,AL-R202307-161,9966231313,GAYATRI MEDICAL , Sharat ,9966231313,
124,AL-R202307-162,7989603648,BALAJI MEDICALS ,Ramakrishna ,7989603648,
125,AL-R202307-163,9848774884,SRI SAI SRINIVASA,Mehar baba,9848774884,
126,AL-R202307-164,9052957700,SRI BALAJI MEDICAL,NARESH,9052957700,
127,AL-R202307-165,9989886890,JAGANNATH PHARMACY ,Sdhanujaya,9989886890,22AAAAA0000A1Z5
128,AL-R202307-166,8686505117,BHAVANI MEDICAL AND GENERAL,chandrashekar,9912124110,36alfpg4507q1zt
129,AL-R202307-167,8121121182,JAYA SHREE MEDICAL GENERAL STORE ,rajesh ,9951377430,
130,AL-R202307-168,9848059642,UDAY MEDICAL GENERAL STORE ,Laxman swamy,9848059642,
131,AL-R202307-170,6281856585,SS MEDLCAL,ajay kumar ,6281856585,
132,AL-R202307-171,8008190755,SHIVADAYAL MEDICAL HALL,sathelli Praveen Kumar ,8008190755,
133,AL-R202307-172,9866722922,AYYAPA MEDICAL ,D Sharath Kumar ,9866722922,
134,AL-R202307-173,7702308643,SRI VARALAKSHMI MEDICAL ,Srinivasa Reddy ,7702308643,
135,AL-R202307-174,9849654928,SHIVA SAI RAM MEDICAL ,Venkatesh,9849654928,
136,AL-R202307-175,9182156293,99 PHARMACY ,KRISHNA c,9182156293,
137,AL-R202307-176,7337017001,GURURAGAHAVENE MEDICAL , P Nagesh,7337017001,
138,AL-R202307-177,9866003049,MS MALLIKARJUN MEDICAL AND GENERAL STORE ,Sathish kumar,9866003049,
139,AL-R202307-178,9346505373,SPOORTHY MEDICAL ,raju,9346505373,
140,AL-R202307-179,7893192733,HEALTHCARE PHARMACY AND GENERAL STORE ,ravinder,7893192733,
141,AL-R202307-180,9849662806,SRI VENKAT SAI ,Srinivas ,9849662806,
142,AL-R202307-181,9849882652,SAI BALAJI MEDICA AND GENERAL ,seshu,9849882652,36BTDPS2816M1ZW
143,AL-R202307-182,9494777722,BALAJI MEDICAL , Chandrasekhar,9494777722,
144,AL-R202307-183,8332866151,DAYA PHARMACY ,srikanth,8332866151,
145,AL-R202307-184,8639626208,SR MEDICAL ,Abdul Kareem,8639626208,
146,AL-R202307-185,9701896606,SRI VAS,naresh ,9701896606,
147,AL-R202307-186,9666710347,KANAKA DURGA MEDICAL,Nagaraju,9666710347,
148,AL-R202307-187,7075303574,TABS PHARMACY ,harish,7075303574,
149,AL-R202307-188,9392131415,REVAANSH DRUG MART WHOLESALE MEDICAL ,raventh,9392131415,
150,AL-R202307-189,9441034473,MOULI MEDICAL GENERIC AND GENERAL STORES ,MADHAVI,9441034473,36BFLPD0891M1Z3
151,AL-R202307-190,9391750813,SRI LAKSHMI MEDICAL GENERAL STORE ,Vijay Kumar ,9391750813,
152,AL-R202307-191,9700566489,MAYURI MEDICAL HALL,Ratcha shirisha,9700566489,36ABSFM8656M1Z6
153,AL-R202307-192,9000325011,SAI LAYA MEDICAL ,Y Hanuman ,9000325011,
154,AL-R202307-193,9618670823,SRI SURYA MEDICAL AND GENERAL STORE,srinivas ,9618670823,
155,AL-R202307-194,9014509077,SIR SAI MEDICAL ,manohar ,9014509077,
156,AL-R202307-195,9966227369,RUSHI MEDICAL AND GENERAL STORE ,EDARA SRINIVASA RAO,9966227369,
157,AL-R202307-196,9581444737,MEDICARE MEDICAL AND GENERAL STORE ,Ramya spandana,9885373037,
158,AL-R202307-197,9059033164,BALAJI MEDICAL ,GIRISH ,9059033164,
159,AL-R202307-198,6303762009,MED LIFE HEALTH CARE AND PHARMA ,Mirza Abdullah Baig,6303762009,
160,AL-R202307-199,9849101884,SULTAN MEDICAL HALL,MOHD ARIF UDDIN ,9849101884,
161,AL-R202307-200,8801902310,HEAL PHARMACY AND GENERAL STORE ,ABDUL FAYYAZ KHAN,8801902310,
162,AL-R202307-201,6309572323,SF PHARMACY ,mohd faiyaz,6309572323,
163,AL-R202307-202,9553393531,AL SHAFI MEDICAL ,MOHD RIYAZ,9553393531,
164,AL-R202307-204,7702527077,MEDICURE DRUG MART,Venkat,7702527077,
165,AL-R202307-205,9949483898,SANJEEVANI MEDICAL  STORE ,Satish,9949483898,
166,AL-R202307-207,9398972814,AL SHAFA MEDICAL MEDICAL , shaik sajjad ,9398972814,
167,AL-R202307-208,8494945564,SRI LAKSHMI MEDICAL HALL,sampath ,8494945564,
168,AL-R202307-209,9573434727,SMAQ MEDICAL ,SHAIK IBRAHIM,9640433786,
169,AL-R202307-210,7396566090,PRANAY MEDICAL ,hari,7396566090,
170,AL-R202307-211,8247465314,PHARMA PLUS,gouri sai Kiran ,9347688556,36BSLPG6846A1ZR
171,AL-R202307-212,9949278054,SRI VIBHA MEDICAL ,ramesh ,9949278054,
172,AL-R202307-213,9848017312,OM SRI LALITHA MEDICAL ,hanmanth,9848017312,
173,AL-R202307-214,9393733062,SHIVA SAI PHARMACY ,Gagadam Srilatha,9393733062,
174,AL-R202307-215,7995236319,OLIVE PHARMACY AND GENERAL STORE ,katkam santhosh,7995236319,
175,AL-R202307-216,8309410208,LAXMINARSIMHA MEDICAL ,santosh,8309410208,
176,AL-R202307-217,8106982287,SAI PALLAVI MEDICAL ,narendar ,8106982287,
177,AL-R202307-218,9194414362,MEDICAR MEDICAL AND GENERAL STORE ,sujani,9194414362,
178,AL-R202307-219,9550349546,MYTRI PHARMACY ,Harish,9550349546,
179,AL-R202307-220,9866200050,SRI SOUMYA MEDICAL AND GENERAL STORE ,phani chandra,9866200050,36ADSFS6017Q1Z5
180,AL-R202307-221,9701601047,SR PHARMA,Gaddam lavanya,9701601047,
181,AL-R202307-222,9550040923,SAI SRINIVAS MEDICAL ,prabhakar,9550040923,
182,AL-R202307-223,9392464000,TEJA MEDICAL,Srinivas ,9392464000,
183,AL-R202307-224,8074723267, M/S SRI LAKSHMI MEDICAL,R.Naveen Kumar,8074723267,36TESTA0772R1ZF
184,AL-R202307-225,9848503513,RADHA MEDICAL ,Rudra kishore ,9848503513,PJT01134040102
185,AL-R202307-226,9849154945,M/S MAHALAKSHMI PHARMACY ,Enakoti Sri Lakshmi ,9849154945,
186,AL-R202307-227,9652121606,DOCTORS PHARMACY,Midde Nagamalleswara Rao,9652121606,36TESTA0128A1ZF
187,AL-R202307-228,8125175981,SRI BHAVANI MATHA MEDICAL ,sudeer,8125175981,
188,AL-R202307-229,7674807343,M/S CARE MEDICAL GENERAL STORES,Venu Shette,7674807343,36TESTA0772R1ZF
189,AL-R202307-230,9502098387,R R MEDICAL AND GENERAL STORES,Naga raju ,9502098387,22AAAAA0000A1Z5
190,AL-R202307-231,9963914542,HAVISHA MEDICAL ,Raju,9963914542,
191,AL-R202307-232,9246365698,OM SAI CHANDAR MEDICAL ,vishwanadan,9246365698,
192,AL-R202307-233,9014382247,SAHASRA MEDICAL AND GENERAL STORE,Sandeep Kumar Challa,9014382247,
193,AL-R202307-234,8179773854, SRI RAJARAJESWERI MEDICAL ,Shankar ,8179773854,
194,AL-R202307-235,9160295363,SHREE VEERABHADRESHWAR MEDICAL AND GENERAL STORE ,VALLAKATI NAGARAJU,9160295363,
195,AL-R202307-236,9393833041,SAI SRINIVASA MEDICAL ,r koteshwar rao,9393833041,
196,AL-R202307-237,9392490272,SREE NAV DURGA MEDICAL ,Anil Agarwal,9392490272,
197,AL-R202307-238,9160812880,SRI LALITHA MEDICAL ,charan ,9160812880,
198,AL-R202307-239,9000880068,SRI PADMAVATHI MEDICAL,RAVI ,9000880068,
199,AL-R202307-240,9949628480,SRI VAMSHI KRISHNA MEDICAL ,venkat reddy,9949628480,
200,AL-R202307-241,9966328811,MEDLYFE PHARMACY ,Patapati Priyanka,9566052016,
201,AL-R202307-242,9666050535,RUDRA MEDICAL AND GENERAL STORE ,Shiva m,9666050535,
202,AL-R202307-243,9848640384,SAI SUDHA MEDICAL ,madhu,9848640384,
203,AL-R202307-244,7842498392,SREE UMA MAHESHWARI MEDICAL ,Bairi Radha kishan,7842498392,
204,AL-R202307-245,7672063447,SRI KARTHIKEYA MEDICAL ,venkatesh ,7672063447,
205,AL-R202307-246,7995761182,SAI SAHASRA,sravan ,7995761182,
206,AL-R202307-247,8125695543,MEERA MEDICAL HALL ,Akash,8125695543,36ABNPJ9613N1Z0
207,AL-R202307-248,9573230014,SREE BALAJI MEDICAL AND GENERAL STORES,BADVEL SUREKHA,9573230014,36FSUPB3696C1ZD
208,AL-R202307-249,7416633180,HEALTH CARE PHARMACY ,satish,7416633180,
209,AL-R202307-250,9866449798,SRI DEVI MEDICAL ,rb reddy,9866449798,
210,AL-R202307-251,7842427676,MEDIGEN PHARMACY ,RAVI,7842427676,36ABCFM9094K1ZO
211,AL-R202307-252,9169165539,SRI DHANVANTARI MEDICAL ,Naresh ,9169165539,
212,AL-R202307-253,9248441818,STAR HEALTH CARE PHARMACY ,SWAPNA,9248441818,
213,AL-R202307-254,9949912811,JAGANNATH MEDICAL AND GENERAL STORE ,K V KRUPAKAR,9949912811,
214,AL-R202307-255,9949364033,TIRUMALA MEDICAL ,RAMESH,9949364033,36ATPPK5298N1ZN
215,AL-R202307-256,8555850588,ANIRUDH POLICY CLINIC ,Madhu ,8555850588,
216,AL-R202307-257,9908186874,HEALTH CARE MEDICAL ,mohd Anees,9908186874,36AMEPA6102F1ZQ
217,AL-R202307-258,8179331174,HEALTH PHARMACY ,kumar,8179331174,36EFPPM1434A1ZN
218,AL-R202307-259,8686206277,MANASA MEDICAL ,rahim,8686206277,
219,AL-R202307-260,9347922033,AL KHABEER MEDICAL ,irfan,9347922033,
220,AL-R202307-261,9441071926,RAVI KIRAN MEDICAL AND GENERAL STORE ,ravi kiran,9441071926,
221,AL-R202307-262,9063113343,MAA MEDICAL ,lavanya,9063113343,
222,AL-R202307-263,9030875474,ASHWIN PHARMACY ,arun Kumar ,9030875474,
223,AL-R202307-264,9652858475,HARSHA MEDICAL AND GENERAL STORS ,veeranna,9652858475,
224,AL-R202307-265,9154898601,PRATYUSHA MEDICAL ,mohan,9154898601,
225,AL-R202307-266,8341791344,SIDDI VINAYAK MEDICAL GENERAL AND STORES,vakambram,8341791344,
226,AL-R202307-267,9290181266,MEDIX PHARMACY ,Satish,9290181266,36DRBPK3273A1Z6
227,AL-R202307-268,9492363954,JYOTHI MEDICAL AND GENERAL STORES,mallikarjun ,9441067784,
228,AL-R202307-269,9052780614,TAWAKAL PHARMACY ,shaik aziz ,9052780614,
229,AL-R202307-270,8978787098,SAAD MEDICAL,mohd aslam,8978787098,36AOZPK7038P2ZS
230,AL-R202307-271,8328560275,HEALTH CARE MEDICAL ,mohd munawar khan,8328560275,
231,AL-R202307-272,9866234135,NAKSHATRA  PHARMA ,Sri kanth,9866234135,
232,AL-R202307-273,9642081381,SRI SATYANARAYAN  MEDICAL ,Shiva ,9642081381,
233,AL-R202307-277,9394818242,MY CARE PHARMACY ,mallesh,9394818242,
234,AL-R202307-278,9052519491,SRI LAKSHMI NARASI PHARMA,abhi,9052519491,
235,AL-R202307-279,9391322068,VIJAY PHARMACY ,vijay Kumar ,9391322068,
236,AL-R202307-280,9866418485,GANESH MEDICAL ,Ganesh ,9866418485,
237,AL-R202307-281,8978161806,DUVA MEDICAL AND GENERAL ,RAJU,8978161806,
238,AL-R202307-282,9030917043,SRI SAI KRISHNA MEDICAL ,laxmanreddy,9030917043,
239,AL-R202307-283,9885369224,AYUSH MEDICAL ,Surya kanth,9885369224,
240,AL-R202307-284,9848685176,SHREE DEVI SAI MEDICAL ,laxman,9848685176,
241,AL-R202307-285,7396523775,SRI SAI BALAJI MEDICAL ,sudhakar ,7396523775,
242,AL-R202307-286,9908814019,NEW SREE SAI MEDICAL AND GENERAL STORES,g vinesh,9908814019,
243,AL-R202307-287,8310626660,ARIHANT PHARMACY ,arihant ,8310626660,
244,AL-R202307-288,9885430816,VENKATESHWARA MEDICAL ,jaipal reddy ,9885430816,
245,AL-R202307-289,8555095405,RAVINDRA MEDICAL ,simana narayana ,8555095405,
246,AL-R202307-290,9133276502,AADHYA PHARMACY WARASIGUDA ,Giri ,9133276502,1234
247,AL-R202307-291,8885488814,ARI AYYAPPA DHANVANTARI MEDICAL ,sai Krishna ,8885488814,
248,AL-R202307-292,7981424558,HEALTH PHARMACY ,annepu swathi,7981424558,36BECPA2814K1ZU
249,AL-R202307-293,9949637864,NOBLE PHARMACY ,mazar,9949637864,
250,AL-R202307-294,8499859939,SRI KANAKADURGA,sai Kumar ,8499859939,
251,AL-R202307-295,9490068430,VENKAT SAI MEDICAL,G Shiva,9490068430,
252,AL-R202307-296,9849896764,TEJASWINI MEDICAL ,j srinivas ,9849896764,
253,AL-R202307-297,9618854868,RISH PHARMACY ,Ramidi sushmitha ,9618854868,
254,AL-R202307-298,9133443306,MY HEALTH MEDICAL HALL,Boora Ramesh,7337334689,36ABTFM3367L1ZH
255,AL-R202307-299,9912648961,SR HEALTH CARE CENTER,Mahender,9912648961,
256,AL-R202307-300,9293904688,CHARANYA MEDICAL ,maheswar,9293904688,
257,AL-R202307-301,9347578793,KRISHNA MURTHY ,Krishna Murthy ,9347578973,
258,AL-R202307-302,8885594446,SLDDHI VINAYAKA MEDICAL ,P Raju,8885594446,
259,AL-R202307-303,9492657096,MAHA LAXMI MEDICAL ,Manohar,9492657096,
260,AL-R202307-304,7075444402,GANESH MEDICAL ,sreenu ,7075444402,
261,AL-R202307-305,9849659887,SRI RAGHAVENDRA MEDICAL ,b Ravi kumar ,9849659887,
262,AL-R202307-306,8686043734,A1 MEDICAL GENERAL STORE ,Anil Kumar ,8686043734,
263,AL-R202307-307,9849449762,SRI PADMAVATI MEDICAL GENERAL WARASIGUDA ,Santosh,9849449762,
264,AL-R202307-308,9533335666,LAKSHMI NARAYANI MEDICAL ,ch srikanth ,9533335666,
265,AL-R202307-309,9618176766,SIRI CAER MEDICAL ,p mahesh,9618176766,
266,AL-R202307-310,8885518551,MEDIGEN PHARMACY ,venkatesh ,8885518551,
267,AL-R202307-311,7337424993,SRI BHAVANI MEDIAL ,santhosh ,7337424993,
268,AL-R202307-312,7981290519,HEALTH PLUS ,MD Sameer,7981290519,
269,AL-R202307-314,9248691112,MEDSAVE PHARMACY - 1 ,Vijay laxmi,9248691112,
270,AL-R202307-315,7032528442,VERABADRA MEDICAL ,vishu,7032528442,
271,AL-R202307-316,9703228343,SRI BALAJI MEDICAL ,dayanand,9703228343,
272,AL-R202307-317,9059912645,JANA JEEVANA SREE MEDICAL AND GENERAL WARASIGUDA ,Someshwar,9059912645,36AAKFJ4389H1ZW
273,AL-R202307-318,9440724126,GAUTHAM MEDICAL ,gautham ,9440724126,
274,AL-R202307-319,8328331857,MEDSAVE PHARMACY 3,Ram Kumar ,8328331857,
275,AL-R202307-320,9704836797,MEDWELL PHARMACY ,Sudrson,9704836797,
276,AL-R202307-321,9177909087,MANIKANTA MEDICAL,K Gopal,9248484748,
277,AL-R202307-322,9177907165,TIRUMALA MEDICAL AND GENERAL STORE ,Santosh ,9177907165,36TESTA0772R1ZF
278,AL-R202307-323,9542881417,MAHESHWARI MEDICAL ,Goutham,9542881417,
279,AL-R202307-324,9948156839,SRI MANIKANTA ,Sampath ,9948156839,
280,AL-R202307-325,8074294596,YELLAMMA MEDICAL,Shilpa dadu,8074294596,TSHYD202291246
281,AL-R202307-326,8555809428,SRI SAI BALAJI MEDICAL AND GENERAL ,P T  SRINIVASA ,8555809428,
